SYMBOL,DATE,itime,rtime,iprice
AA,20040102,9:30:00,,38
AA,20040102,9:45:00,9:44:34,38.34
AA,20040102,10:00:00,9:59:52,38.07
AA,20040102,10:15:00,10:14:59,38.2
AA,20040102,10:30:00,10:29:57,38.09
AA,20040102,10:45:00,10:44:57,38.14
AA,20040102,11:00:00,10:59:48,38.29
AA,20040102,11:15:00,11:14:29,38.3
AA,20040102,11:30:00,11:29:55,38.28
AA,20040102,11:45:00,11:44:47,38.33
AA,20040102,12:00:00,11:59:50,38.26
AA,20040102,12:15:00,12:14:59,38.12
AA,20040102,12:30:00,12:29:58,38.13
AA,20040102,12:45:00,12:44:38,38.15
AA,20040102,13:00:00,12:59:58,38.08
AA,20040102,13:15:00,13:14:48,38.05
AA,20040102,13:30:00,13:29:54,38.03
AA,20040102,13:45:00,13:44:52,37.93
AA,20040102,14:00:00,13:59:48,37.94
AA,20040102,14:15:00,14:14:45,37.98
AA,20040102,14:30:00,14:29:45,37.8
AA,20040102,14:45:00,14:44:58,37.77
AA,20040102,15:00:00,14:59:47,37.68
AA,20040102,15:15:00,15:14:58,37.64
AA,20040102,15:30:00,15:29:59,37.58
AA,20040102,15:45:00,15:44:59,37.45
AA,20040102,16:00:00,15:59:56,37.5
AA,20040102,16:15:00,16:14:39,37.4
AA,20040105,9:30:00,16:22:10,37.9
AA,20040105,9:45:00,9:44:59,37.8
AA,20040105,10:00:00,9:59:50,37.85
AA,20040105,10:15:00,10:14:38,37.83
AA,20040105,10:30:00,10:29:51,37.9
AA,20040105,10:45:00,10:44:59,37.95
AA,20040105,11:00:00,10:59:55,37.96
AA,20040105,11:15:00,11:14:53,37.99
AA,20040105,11:30:00,11:29:58,37.9
AA,20040105,11:45:00,11:44:53,37.88
AA,20040105,12:00:00,11:59:57,38
AA,20040105,12:15:00,12:14:59,37.97
AA,20040105,12:30:00,12:29:51,38
AA,20040105,12:45:00,12:44:59,37.93
AA,20040105,13:00:00,12:59:59,37.94
AA,20040105,13:15:00,13:14:58,38.041
AA,20040105,13:30:00,13:29:53,38.1
